iter	MAE
0	0.4246731065
1	0.416281684
2	0.4089642933
3	0.401447171
4	0.3944698538
5	0.3878218039
6	0.3818315616
7	0.3757091956
8	0.3690673792
9	0.3630553216
10	0.3574741447
11	0.3520854465
12	0.3465511496
13	0.3418153214
14	0.3373461184
15	0.3325318012
16	0.3283985488
17	0.3233464007
18	0.3193885184
19	0.3154918338
20	0.3115322963
21	0.3074829502
22	0.3032845333
23	0.3001283686
24	0.2965651768
25	0.2932600708
26	0.2895399548
27	0.2861390488
28	0.2834118993
29	0.2799693148
30	0.2769867586
31	0.2743302405
32	0.2713977624
33	0.2686082626
34	0.2658587664
35	0.2629050869
36	0.2606137635
37	0.258059965
38	0.2556772698
39	0.2541595474
40	0.2520658383
41	0.2499187894
42	0.2480198267
43	0.2456576483
44	0.243147127
45	0.2408600985
46	0.2389459683
47	0.2369074368
48	0.2345393896
49	0.2329039958
50	0.2312486843
51	0.2295673357
52	0.2279425242
53	0.2263649381
54	0.2251279215
55	0.2237777095
56	0.2220674253
57	0.2206540715
58	0.2192307459
59	0.2180833035
60	0.2163788481
61	0.2146657286
62	0.2131758329
63	0.2118147162
64	0.210516408
65	0.2091468115
66	0.2077359461
67	0.206524195
68	0.2055375011
69	0.2044132377
70	0.2033242611
71	0.2023702618
72	0.2012691103
73	0.2002807062
74	0.1992730091
75	0.198180234
76	0.1973224638
77	0.196503814
78	0.195613261
79	0.1946577298
80	0.1937003997
81	0.1927055355
82	0.1921648313
83	0.1914954904
84	0.1910003632
85	0.1900364296
86	0.1892546733
87	0.1884261353
88	0.1878027006
89	0.1871197891
90	0.1861580243
91	0.185567593
92	0.1847823386
93	0.1841380366
94	0.1835739427
95	0.1831278235
96	0.1825110397
97	0.1817565713
98	0.1812741937
99	0.1807681487
100	0.1802688887
101	0.1801029261
102	0.1796936181
103	0.1792118929
104	0.1786680285
105	0.1783242759
106	0.1780504957
107	0.1776947436
108	0.1772357617
109	0.1769160817
110	0.176517609
111	0.1760220187
112	0.1755527977
113	0.1749945101
114	0.1746051427
115	0.1744748916
116	0.1739818479
117	0.1739161328
118	0.173718402
119	0.1731793875
120	0.1728965736
121	0.1725651657
122	0.1723128363
123	0.1720025156
124	0.1716764571
125	0.1715056933
126	0.1713301909
127	0.171078768
128	0.1707780143
129	0.1704047217
130	0.1700383741
131	0.1694593027
132	0.1691408944
133	0.1688157087
134	0.1684209771
135	0.1681583393
136	0.1678166319
137	0.1676512501
138	0.1675576497
139	0.1672689807
140	0.1670875557
141	0.1669203071
142	0.1666812438
143	0.1663512636
144	0.1659910305
145	0.1658120799
146	0.1656214124
147	0.1653492763
148	0.1651947728
149	0.1650317663
150	0.1647696882
151	0.1645176534
152	0.1641398241
153	0.1638513516
154	0.1634451016
155	0.1630861657
156	0.1628064546
157	0.1625627534
158	0.1622267331
159	0.1618969852
160	0.1616922943
161	0.1614804983
162	0.1611775096
163	0.16091675
164	0.1606366447
165	0.1603849207
166	0.159945194
167	0.1597259057
168	0.1594449631
169	0.1593084676
170	0.1590411404
171	0.1588101584
172	0.1585368015
173	0.1582563273
174	0.1581471435
175	0.1579782559
176	0.1577787636
177	0.1576910889
178	0.1575575299
179	0.1572406445
180	0.157038836
181	0.1569224513
182	0.1568529615
183	0.1567008738
184	0.156573991
185	0.1564880054
186	0.156284862
187	0.155976976
188	0.1558498028
189	0.1555112016
190	0.1553591381
191	0.155237973
192	0.154956705
193	0.1546134238
194	0.1545106188
195	0.1543443459
196	0.1542110318
197	0.154073748
198	0.1538390692
199	0.1536949786
200	0.1535990073
201	0.1535455682
202	0.1532729714
203	0.1531582418
204	0.1530271303
205	0.1527710332
206	0.1525579387
207	0.1524089312
208	0.1521851967
209	0.1520491243
210	0.1518790643
211	0.1515712425
212	0.1515065821
213	0.151413785
214	0.1512496864
215	0.1511064807
216	0.1508791146
217	0.150809185
218	0.1506721227
219	0.1505165349
220	0.1503739664
221	0.1501738769
222	0.1498529447
223	0.149753708
224	0.1496378924
225	0.1494688996
226	0.1492158192
227	0.1489676692
228	0.1488513939
229	0.1486276616
230	0.1485404473
231	0.1483748378
232	0.1482528533
233	0.1479849148
234	0.1477846992
235	0.147616001
236	0.147521737
237	0.1474208561
238	0.1473470827
239	0.1472634702
240	0.1471040641
241	0.1469847301
242	0.1467386528
243	0.1465553674
244	0.1463134288
245	0.1461037062
246	0.1459276306
247	0.1456516535
248	0.1454162086
249	0.1452534447
250	0.1450239598
251	0.1448059244
252	0.1445229224
253	0.1443576514
254	0.1441746006
255	0.1439458613
256	0.1437318996
257	0.1436298279
258	0.1433438208
259	0.1431808924
260	0.1429700572
261	0.1428421805
262	0.1426475057
263	0.1425132498
264	0.1423544351
265	0.1421338729
266	0.1418688303
267	0.141649745
268	0.1414320142
269	0.1411908592
270	0.140927449
271	0.1406464418
272	0.1404796041
273	0.1403235172
274	0.1402305378
275	0.1400632715
276	0.1397983027
277	0.1396611566
278	0.1395510846
279	0.1393313409
280	0.1391613196
281	0.1389341438
282	0.1386882953
283	0.1385324924
284	0.1383855911
285	0.1381661973
286	0.1379942206
287	0.1378564615
288	0.1377224454
289	0.1375377915
290	0.1373369732
291	0.137169072
292	0.1370063927
293	0.1368294002
294	0.1365726945
295	0.1363882681
296	0.1362404316
297	0.1361354426
298	0.1359609039
299	0.1357918009
300	0.1357278669
301	0.1354987015
302	0.1353495553
303	0.1351665464
304	0.1350652738
305	0.1349659594
306	0.1348889665
307	0.1347258482
308	0.1345806246
309	0.1343808594
310	0.13427071
311	0.1341456473
312	0.1338706353
313	0.1337125187
314	0.1336136649
315	0.1334937857
316	0.1332771648
317	0.13313766
318	0.1329519762
319	0.1327894229
320	0.1326385149
321	0.1324710188
322	0.1323305822
323	0.1321444082
324	0.1320085992
325	0.1318897942
326	0.131753843
327	0.1316334827
328	0.1314812006
329	0.1313538709
330	0.131131098
331	0.1310063523
332	0.1308231247
333	0.1307034244
334	0.1305410454
335	0.1304026093
336	0.1302376422
337	0.1301264646
338	0.1299884381
339	0.1299291043
340	0.1298153524
341	0.1296309996
342	0.1294374314
343	0.129256127
344	0.1291609574
345	0.1290161457
346	0.1288314082
347	0.1286923394
348	0.1285948352
349	0.1284624321
350	0.1283281418
351	0.1282121467
352	0.1280739089
353	0.1278905722
354	0.1277199109
355	0.1276005752
356	0.127419073
357	0.1273370502
358	0.1271963955
359	0.1270141946
360	0.1268939082
361	0.1267966367
362	0.1266538273
363	0.1264810752
364	0.1263400122
365	0.126253971
366	0.1261247945
367	0.1260680324
368	0.1259513047
369	0.1258604293
370	0.1257062479
371	0.1255568584
372	0.1254571151
373	0.1253748164
374	0.1252803529
375	0.1251801965
376	0.1250619367
377	0.1249421422
378	0.1248605205
379	0.1247639966
380	0.1246499139
381	0.1245764593
382	0.1244943596
383	0.1244287787
384	0.1242724613
385	0.1241914102
386	0.1240668494
387	0.1239725073
388	0.1239448431
389	0.1238737871
390	0.1237685218
391	0.1236061655
392	0.1234985409
393	0.1233835818
394	0.1231706885
395	0.1230889848
396	0.1230237472
397	0.1229120424
398	0.1228106001
399	0.1227399946
400	0.1226462872
401	0.1225399652
402	0.1224344588
403	0.122297172
404	0.1221837005
405	0.1220386503
406	0.121916171
407	0.1218497962
408	0.1217530443
409	0.1216274064
410	0.1214580669
411	0.1213645827
412	0.1212582086
413	0.1211216231
414	0.1209091528
415	0.1208240749
416	0.1207367347
417	0.1206461896
418	0.120579521
419	0.1205425447
420	0.120437918
421	0.1203487531
422	0.1202517678
423	0.1201513168
424	0.1200942783
425	0.120017161
426	0.1199016689
427	0.1198257977
428	0.1197858376
429	0.1197572872
430	0.119639533
431	0.1195535803
432	0.1194847578
433	0.1193727327
434	0.1192614414
435	0.1191861385
436	0.1190665722
437	0.1189475863
438	0.1188778786
439	0.1187723985
440	0.1187080561
441	0.1186450121
442	0.1185916589
443	0.1184492226
444	0.1183644572
445	0.1182765944
446	0.1181924097
447	0.1180930051
448	0.1180238561
449	0.1179437144
450	0.1178515433
451	0.1177277031
452	0.1176770283
453	0.1175750628
454	0.1175177522
455	0.1174457553
456	0.1173961079
457	0.1172675516
458	0.1171969876
459	0.1170966757
460	0.1170535684
461	0.117000763
462	0.1169478909
463	0.1168708463
464	0.1168112769
465	0.1167086081
466	0.116647234
467	0.1165404052
468	0.1164872396
469	0.1164385632
470	0.1163544275
471	0.1162349773
472	0.1161940321
473	0.116139575
474	0.1160602731
475	0.11596301
476	0.1159096007
477	0.1158591846
478	0.1157575787
479	0.1156954569
480	0.1156370537
481	0.1156068486
482	0.1155118444
483	0.1154763197
484	0.115395181
485	0.1153552321
486	0.1152637198
487	0.1151396175
488	0.1150883495
489	0.1150175641
490	0.1149661279
491	0.1149240934
492	0.1148580745
493	0.1148036763
494	0.1147002639
495	0.1146665127
496	0.1146007931
497	0.1145264194
498	0.1144683066
499	0.1144333568
500	0.1143866864
501	0.1143085302
502	0.1142361608
503	0.1141649409
504	0.1141248838
505	0.114082664
506	0.1140339503
507	0.1139767413
508	0.1139260656
509	0.1138648618
510	0.113793117
511	0.1137304124
512	0.1136926101
513	0.1135995847
514	0.1135253514
515	0.1134602281
516	0.1134009942
517	0.1132709021
518	0.1132021003
519	0.1131544415
520	0.1130778815
521	0.1129772019
522	0.1128959201
523	0.1128156993
524	0.1127455289
525	0.112682342
526	0.1126231492
527	0.1125413565
528	0.1125255426
529	0.1124532796
530	0.1124089241
531	0.1123471583
532	0.1122872226
533	0.1122487218
534	0.1121859927
535	0.1120776652
536	0.1120033008
537	0.111926488
538	0.1118526871
539	0.1117702953
540	0.111682411
541	0.1116144165
542	0.1115849822
543	0.1115366795
544	0.1114741899
545	0.1114066656
546	0.111356187
547	0.1112923649
548	0.1112657121
549	0.1111999111
550	0.1111663654
551	0.1111188705
552	0.1110895483
553	0.1110283501
554	0.1109581278
555	0.1108810342
556	0.1108355762
557	0.1107830348
558	0.1107215573
559	0.1106622005
560	0.1106443683
561	0.1105438658
562	0.1105032068
563	0.1104248281
564	0.1103347589
565	0.1102966442
566	0.110211392
567	0.11015777
568	0.1100594309
569	0.1099880905
570	0.1099615771
571	0.1098678681
572	0.1097781683
573	0.1097140946
574	0.1096004923
575	0.1095440127
576	0.109493231
577	0.1094631674
578	0.1094133987
579	0.1093587957
580	0.1092850309
581	0.1092314404
582	0.1091645453
583	0.1090410256
584	0.1089884883
585	0.1089393735
586	0.1088920988
587	0.1088315544
588	0.1087768308
589	0.1087328745
590	0.1087003392
591	0.1086331603
592	0.1085528661
593	0.1084697971
594	0.1084091538
595	0.1083682127
596	0.1083233006
597	0.1082449083
598	0.1081495184
599	0.1080800938
600	0.1080231264
601	0.1079733397
602	0.1079217003
603	0.1078505357
604	0.1077797603
605	0.1076997379
606	0.1076204009
607	0.1075411579
608	0.1074537145
609	0.1073584806
610	0.1073047737
611	0.1072317718
612	0.1071475502
613	0.1070697605
614	0.1070150894
615	0.1069425991
616	0.1068983092
617	0.1068527177
618	0.1067950571
619	0.1067044086
620	0.1066721639
621	0.1065915468
622	0.1065272186
623	0.1064556018
624	0.1063509823
625	0.1062902794
626	0.1062310292
627	0.1061564343
628	0.1061255581
629	0.106070048
630	0.1060194013
631	0.1059897638
632	0.1059557856
633	0.1059225668
634	0.1058244674
635	0.1057906299
636	0.1057196932
637	0.1056374175
638	0.1055703353
639	0.1055265039
640	0.1054822598
641	0.1054399809
642	0.1054188339
643	0.1053811207
644	0.1053413791
645	0.1052944457
646	0.1052520235
647	0.1051968933
648	0.1051790094
649	0.1051351693
650	0.1050748556
651	0.1050230016
652	0.1049931393
653	0.1049338506
654	0.1048842129
655	0.1048505418
656	0.1048119773
657	0.1047728018
658	0.1047233268
659	0.1046745386
660	0.1046536076
661	0.1045913691
662	0.1045726047
663	0.1044918132
664	0.1044601274
665	0.1044025108
666	0.1043664909
667	0.1043441696
668	0.1043356829
669	0.1043221293
670	0.104298017
671	0.1042533992
672	0.104233874
673	0.1042158899
674	0.1042034342
675	0.10416524
676	0.1041383517
677	0.1040911665
678	0.1040664667
679	0.1040116653
680	0.1039956219
681	0.1039773349
682	0.1039606192
683	0.103893877
684	0.1038599307
685	0.1038424466
686	0.103791521
687	0.1037659106
688	0.1037316709
689	0.1037035273
690	0.103672971
691	0.1036398304
692	0.1035944245
693	0.103572145
694	0.1035325125
695	0.1035104924
696	0.1034720975
697	0.103423413
698	0.1034014152
699	0.1033482822
700	0.1033251532
701	0.1033020434
702	0.103273354
703	0.1032517968
704	0.1031912764
705	0.1031550271
706	0.1030989852
707	0.1030558451
708	0.1030313683
709	0.1029742277
710	0.1029557735
711	0.1029309715
712	0.1028482662
713	0.1028139301
714	0.1028060641
715	0.1027523619
716	0.1027392267
717	0.1026978952
718	0.1026556502
719	0.1026270759
720	0.1025865963
721	0.1025383475
722	0.1024471036
723	0.102432592
724	0.1024122053
725	0.1023842235
726	0.1023536167
727	0.1023182669
728	0.1022983014
729	0.1022510184
730	0.1022201357
731	0.1022001485
732	0.1021661326
733	0.1021511039
734	0.1021106467
735	0.1020923446
736	0.1020484419
737	0.1020048736
738	0.1019832398
739	0.1019352867
740	0.1019205902
741	0.1018633879
742	0.1017998496
743	0.1017573769
744	0.1017379389
745	0.101657213
746	0.101617524
747	0.1015612917
748	0.1015299893
749	0.1014811343
750	0.1013566233
751	0.1013028099
752	0.1012493373
753	0.1011962317
754	0.1011283645
755	0.1010815364
756	0.1010107726
757	0.1009682667
758	0.1009164665
759	0.1008657539
760	0.100813635
761	0.1007710182
762	0.1007531909
763	0.100709202
764	0.1006738657
765	0.1006118672
766	0.1005686442
767	0.1005318879
768	0.100482387
769	0.100429054
770	0.1003764322
771	0.100342492
772	0.1003356625
773	0.1002859571
774	0.1002689137
775	0.100255335
776	0.1002192364
777	0.1001925968
778	0.1001187016
779	0.1000969016
780	0.1000409282
781	0.1000042402
782	0.09998323948
783	0.09995403142
784	0.09992046289
785	0.09990355891
786	0.09987354968
787	0.09983966791
788	0.09979541988
789	0.09973770513
790	0.09971233952
791	0.09968535046
792	0.09965340249
793	0.09962192042
794	0.09958507355
795	0.09956878815
796	0.09952265743
797	0.09948848969
798	0.0994734058
799	0.09942891017
800	0.09938606551
801	0.09934732464
802	0.09929164708
803	0.09926357241
804	0.09920301562
805	0.09916670883
806	0.0991406349
807	0.0990643748
808	0.0990295168
809	0.09899020121
810	0.09895385487
811	0.09893231979
812	0.09888587728
813	0.09884558806
814	0.09882025807
815	0.09875714284
816	0.09871752762
817	0.09869011226
818	0.09864351392
819	0.098613531
820	0.09858043457
821	0.09855669767
822	0.09853110172
823	0.09850897877
824	0.09846260149
825	0.09842603695
826	0.09837437296
827	0.09834862853
828	0.09830859848
829	0.09828569767
830	0.09824374801
831	0.09819878214
832	0.09817570263
833	0.09810289653
834	0.09808181033
835	0.098035275
836	0.09800485392
837	0.09797347028
838	0.0979510443
839	0.09793299462
840	0.09789669482
841	0.09783814385
842	0.0978280454
843	0.0977948717
844	0.09775307261
845	0.09772448624
846	0.09769397218
847	0.09767381891
848	0.09765504683
849	0.09764094721
850	0.09761008302
851	0.09758603227
852	0.09754850083
853	0.09750642966
854	0.09747431875
855	0.09740439653
856	0.0973902111
857	0.09735632021
858	0.09732714255
859	0.09730407626
860	0.09726021188
861	0.09723894404
862	0.09720964179
863	0.09716013497
864	0.09713189773
865	0.09712138986
866	0.09710250625
867	0.09707208035
868	0.09702549515
869	0.09698220448
870	0.09696327333
871	0.09693523411
872	0.0969156919
873	0.0969055273
874	0.096888536
875	0.09683875149
876	0.09682095464
877	0.09678719452
878	0.09673788503
879	0.0967250551
880	0.09668263191
881	0.09667645822
882	0.09663813988
883	0.09659044703
884	0.0965639483
885	0.09654549819
886	0.09651085211
887	0.09647717026
888	0.09646822402
889	0.09645907267
890	0.09643309534
891	0.09641094783
892	0.09640103511
893	0.09637844597
894	0.09636081359
895	0.09625006079
896	0.09620499215
897	0.09619269456
898	0.096178322
899	0.09614401602
900	0.09609774689
901	0.0960660493
902	0.09602316845
903	0.09601155819
904	0.09596879224
905	0.09593116699
906	0.09592063772
907	0.09591160955
908	0.09586394386
909	0.09582841655
910	0.09581083839
911	0.09578413459
912	0.09577355108
913	0.09573845676
914	0.09570384812
915	0.09566119496
916	0.09560786853
917	0.09558473783
918	0.09553986344
919	0.09548493479
920	0.09544698983
921	0.0954213326
922	0.0953838759
923	0.09534834196
924	0.09531882037
925	0.09529916492
926	0.09527888515
927	0.09521040459
928	0.09514184532
929	0.09512845688
930	0.09510566873
931	0.09506095012
932	0.09503062751
933	0.09498893247
934	0.0949672781
935	0.09492635948
936	0.09489599079
937	0.09487265068
938	0.09482782654
939	0.09480883565
940	0.09479082382
941	0.09474363936
942	0.09471677198
943	0.09468693478
944	0.09466047318
945	0.09464977751
946	0.09461106259
947	0.0945875508
948	0.0945695547
949	0.09454085682
950	0.09450545193
951	0.09446149231
952	0.09444540841
953	0.09443666998
954	0.09439878051
955	0.09437777653
956	0.09436542172
957	0.0943382467
958	0.09432747764
959	0.09430270318
960	0.09428582024
961	0.09426917911
962	0.09425462367
963	0.09424813078
964	0.09423142626
965	0.09419615327
966	0.09416638185
967	0.09413011668
968	0.0941012184
969	0.09408468306
970	0.09404502277
971	0.09401631872
972	0.09398392215
973	0.09395795481
974	0.09391853514
975	0.09390765553
976	0.09390101462
977	0.09388459241
978	0.09386932358
979	0.09384269563
980	0.09383055209
981	0.09379377823
982	0.0937604672
983	0.09373158682
984	0.09370928643
985	0.09368802895
986	0.0936420781
987	0.09362369229
988	0.0935840425
989	0.09352739071
990	0.09347293275
991	0.09345483741
992	0.09340785758
