iter	Passed	Remaining
0	1	1807
1	3	1732
2	5	1680
3	6	1651
4	8	1640
5	10	1658
6	11	1653
7	13	1641
8	14	1634
9	16	1623
10	17	1617
11	19	1626
12	21	1624
13	23	1623
14	24	1617
15	26	1610
16	27	1607
17	29	1608
18	31	1605
19	32	1603
20	34	1601
21	35	1598
22	37	1600
23	39	1608
24	41	1604
25	42	1601
26	44	1598
27	46	1597
28	47	1596
29	49	1595
30	50	1593
31	52	1590
32	54	1594
33	56	1592
34	57	1589
35	59	1587
36	60	1585
37	62	1582
38	64	1580
39	65	1578
40	67	1582
41	69	1580
42	70	1577
43	72	1573
44	74	1570
45	75	1567
46	77	1566
47	78	1565
48	80	1564
49	82	1562
50	83	1560
51	85	1558
52	87	1558
53	88	1556
54	90	1553
55	91	1550
56	93	1548
57	95	1545
58	96	1546
59	98	1544
60	100	1542
61	101	1540
62	103	1538
63	105	1536
64	106	1535
65	108	1532
66	109	1530
67	111	1528
68	113	1526
69	114	1524
70	116	1522
71	118	1520
72	119	1518
73	121	1517
74	122	1514
75	124	1512
76	126	1512
77	127	1509
78	129	1507
79	130	1506
80	132	1504
81	134	1502
82	135	1502
83	137	1500
84	139	1499
85	140	1496
86	142	1494
87	144	1492
88	145	1491
89	147	1489
90	148	1487
91	150	1485
92	152	1483
93	153	1481
94	155	1479
95	156	1477
96	158	1476
97	160	1474
98	161	1472
99	163	1470
100	164	1468
101	166	1466
102	168	1464
103	169	1462
104	171	1460
105	172	1458
106	174	1458
107	176	1456
108	177	1454
109	179	1452
110	181	1451
111	182	1449
112	184	1447
113	186	1446
114	187	1444
115	189	1442
116	190	1440
117	192	1438
118	194	1440
119	196	1439
120	197	1437
121	199	1436
122	201	1434
123	202	1433
124	204	1432
125	206	1430
126	207	1428
127	209	1428
128	211	1426
129	213	1425
130	214	1424
131	216	1422
132	218	1423
133	220	1424
134	222	1426
135	224	1426
136	226	1424
137	227	1422
138	229	1420
139	231	1419
140	232	1417
141	234	1415
142	235	1414
143	237	1411
144	239	1410
145	240	1408
146	242	1406
147	244	1404
148	245	1402
149	247	1400
150	248	1399
151	250	1397
152	252	1395
153	253	1393
154	255	1391
155	256	1389
156	258	1387
157	260	1386
158	261	1384
159	263	1382
160	264	1380
161	266	1378
162	268	1376
163	269	1374
164	271	1373
165	273	1371
166	274	1369
167	276	1367
168	277	1365
169	279	1364
170	281	1362
171	282	1360
172	284	1358
173	285	1356
174	287	1354
175	289	1353
176	290	1351
177	292	1349
178	293	1347
179	295	1345
180	297	1343
181	298	1341
182	300	1340
183	301	1338
184	303	1336
185	304	1334
186	306	1332
187	308	1330
188	309	1328
189	311	1327
190	312	1325
191	314	1323
192	316	1321
193	317	1320
194	319	1318
195	321	1317
196	322	1315
197	324	1313
198	325	1311
199	327	1309
200	329	1308
201	330	1307
202	332	1305
203	334	1303
204	335	1302
205	337	1300
206	339	1299
207	340	1297
208	342	1296
209	344	1294
210	345	1292
211	347	1291
212	349	1289
213	350	1288
214	352	1286
215	354	1284
216	355	1283
217	357	1281
218	359	1280
219	360	1279
220	362	1278
221	364	1276
222	365	1274
223	367	1273
