timestamp,raw_start_location,raw_end_location,fee
2023-01-18 22:21:35,"145, Rue Belliard, Paris 18e Arrondissement","315, Rue de Charenton, Paris 12e Arrondissement",16.57
2023-01-19 20:31:27,"127, Rue de Charenton, Paris 12e Arrondissement","1, Square de la Dordogne, Paris 17e Arrondissement",18.61
2023-01-25 19:40:10,"8, Rue Richard Lenoir, Paris 11e Arrondissement","9, Rue de Cherbourg, Paris 15e Arrondissement",13.15
2023-01-14 10:07:15,"6, Rue Guisarde, Paris 6e Arrondissement","28, Rue Guynemer, Paris 6e Arrondissement",5.0
2023-01-01 21:23:11,"2, Rue Cognacq-Jay, Paris 7e Arrondissement","115, Boulevard du Montparnasse, Paris 6e Arrondissement",5.0
2023-01-19 22:32:27,"81, Rue de la Tombe Issoire, Paris 14e Arrondissement","13, Rue du Télégraphe, Paris 20e Arrondissement",14.62
2023-01-19 06:00:41,"1, Rue de la Bastille, Paris 4e Arrondissement","52, Rue de Meaux, Paris 19e Arrondissement",5.0
2023-01-28 10:29:59,"23, Rue Daval, Paris 11e Arrondissement","14, Rue des Récollets, Paris 10e Arrondissement",5.29
2023-01-22 14:29:49,"14, Rue Fenoux, Paris 15e Arrondissement","36, Rue de l’Arbalète, Paris 5e Arrondissement",7.08
2023-01-20 08:33:30,"15, Place Richard Baret, Paris 17e Arrondissement","17, Passage Duhesme, Paris 18e Arrondissement",5.58
2023-01-28 06:01:57,"23, Voie Cy/18, Paris 18e Arrondissement","89, Rue de Reuilly, Paris 12e Arrondissement",7.32
2023-01-16 15:02:57,"56, Rue de l’Hôtel de Ville, Paris 4e Arrondissement","34, Rue Mouffetard, Paris 5e Arrondissement",5.0
2023-01-27 08:45:55,"67, Boulevard de Belleville, Paris 11e Arrondissement","14, Villa Dupont, Paris 16e Arrondissement",14.49
2023-01-13 21:48:48,"65, Rue de l’Ouest, Paris 14e Arrondissement","72, Rue Montorgueil, Paris 2e Arrondissement",6.69
2023-01-23 12:47:54,"25, Rue Decamps, Paris 16e Arrondissement","54, Rue d’Hautpoul, Paris 19e Arrondissement",12.54
2023-01-03 00:25:21,"9, Rue Césaria Évora, Paris 19e Arrondissement","10, Voie Bc/17, Paris 17e Arrondissement",12.27
2023-01-01 17:14:49,"16, Avenue de Versailles, Paris 16e Arrondissement","74, Rue des Poissonniers, Paris 18e Arrondissement",10.1
2023-01-07 18:21:34,"9, Rue Perronet, Paris 7e Arrondissement","79, Rue Sedaine, Paris 11e Arrondissement",5.0
2023-01-24 03:36:06,"156, Rue de Saussure, Paris 17e Arrondissement","26, Rue du Bastion, Paris 17e Arrondissement",5.0
